artifact_id,total_releases,aggregate_score,popularity_metrics,freshness_metrics,speed_metric,average_popularity_metric
"""com.fasterxml.jackson.core:jackson-annotations""",154,29453.60681,"[0.0, 3025.0, 32.0, 958.0, 3851.0, 2877.0, 553.0, 7642.0, 11587.0, 2088.0, 34.0, 185.0, 1.0, 470.0, 47.0, 97.0, 11425.0, 968.0, 3.0, 89.0, 114.0, 237.0, 24.0, 378.0, 54.0, 307.0, 188.0, 8421.0, 190.0, 28.0, 1075.0, 201.0, 109.0, 1025.0, 3827.0, 547.0, 1157.0, 173.0, 1575.0, 483.0, 4526.0, 1134.0, 1195.0, 16.0, 17.0, 2.0, 94.0, 8.0, 13.0, 7.0, 64.0, 12.0, 6.0, 9.0, 5.0, 20.0, 55.0, 14.0, 30.0, 38.0, 73.0]",[0],0.03407079646,1203.0
"""com.bluecirclesoft.open:json-interface-generator-core""",28,3.602042305,"[0, 5.0, 4.0]",[0],0.01021152443,3.0
"""org.springframework.amqp:spring-amqp""",177,99.60746206,"[0.0, 2.0, 5.0, 37.0, 1.0, 14.0, 12.0, 11.0, 6.0, 3.0, 8.0, 61.0, 38.0, 19.0]",[0],0.03731028668,15.5
"""com.avast.grpc:grpc-json-bridge-core_2.13""",13,2.402256944,"[3.0, 0.0]",[0],0.01128472222,1.5
"""com.google.guava:guava""",130,64200.80498,"[446.0, 19029.0, 300.0, 3.0, 74.0, 4706.0, 9.0, 17911.0, 73.0, 95.0, 18019.0, 401.0, 20311.0, 0.0, 34.0, 12226.0, 132.0, 22.0, 5072.0, 27.0, 207.0, 61.0, 64.0, 136.0, 6.0, 71.0, 213.0, 28.0, 913.0, 158.0, 786.0, 3672.0, 4.0, 97.0, 80.0, 27739.0, 3577.0, 321.0, 2.0, 160.0, 7605.0, 46.0, 8.0, 325.0, 338.0, 39.0, 356.0, 139.0, 91.0, 5143.0, 456.0, 316.0, 76.0, 11.0, 43.0, 2571.0, 710.0, 246.0, 221.0, 7.0, 1.0, 5.0, 107.0, 20.0, 19.0, 42.0, 1615.0, 1690.0, 14.0, 252.0, 100.0, 638.0]",[0],0.02487562189,2228.2638888888887
"""org.webjars.npm:angular__core""",67,0.004753458673,[0],[0],0.02376729337,0.0
"""org.jgrapht:jgrapht-core""",13,638.8007591,"[0.0, 199.0, 10.0, 181.0, 105.0, 953.0, 12.0, 26.0, 34.0, 7.0, 38.0, 20.0]",[0],0.003795620438,132.08333333333334
"""org.twitter4j:twitter4j-core""",38,62.80164218,"[0, 24.0, 20.0, 22.0, 91.0]",[0],0.008210890233,31.4
"""org.webjars.npm:angular__core""",67,0.004753458673,[0],[0],0.02376729337,0.0
"""cn.xiaoandcai:json-diff-core""",23,16.4088632,"[0.0, 5.0, 2.0, 1.0]",[0],0.04431599229,2.0
