artifact_type,artifact_id,total_dependencies,aggregate_score,speed_metric,average_popularity_metric,average_freshness_metric,normalized_speed_metric,normalized_popularity_metric,normalized_freshness_metric
Library,org.codehaus.plexus.redback.old:redback-keys-jdo,0,0.05162229801,0.02469135802,0,1.5,0.04253236976,0,0.009089928249
Library,com.google.collections:google-collections,6,0.06236840792,0.01789709172,31,3.5,0.03082883178,0.01032974356,0.02120983258
Library,com.twitter:util-core_2.12,733,0.2455974805,0.02539565697,13.2,32.58333333,0.04374556765,0.004398471453,0.1974534414
Library,org.scala-lang.modules:scala-collection-compat_2.11,68,0.1274538893,0.01572617946,9.7,16.02857143,0.02708930304,0.003232210083,0.09713237615
Library,org.scala-lang.modules:scala-collection-compat_3,20,0.1203070942,0.009372071228,238.2,4.090909091,0.01614396416,0.07937241668,0.02479071341
Library,org.jetbrains.kotlin-wrappers:kotlin-actions-toolkit,329,1.987790622,0.5805309735,0,163.0030395,0.9999999999,0,0.9877906224
Library,org.codehaus.groovy.modules.http-builder:http-builder,93,0.03604570656,0.005250875146,8.285714286,4,0.009044952613,0.002760945285,0.02423980866
Library,org.codehaus.groovy.modules.remote:remote-core,0,0.0252128328,0.007407407407,1,2,0.01275971093,0.0003332175344,0.01211990433
Library,org.mozilla.deepspeech:libdeepspeech,4,0.2033871446,0,0,33.5625,0,0,0.2033871446
Library,org.mozilla.taskcluster:taskcluster-client,1223,1.377370271,0.2631126397,0,152.5,0.4532275653,0,0.9241427053
Library,org.mozilla.iot:webthing,112,0.08821304553,0.02306648575,0,8,0.0397334282,0,0.04847961733
Library,com.pulumi:aiven,637,1.141519561,0.2880215343,0,106.5,0.4961346551,0,0.6453849057
Library,com.pulumi:akamai,3,0.9846918219,0.2752161383,0,84.26060606,0.4740765797,0,0.5106152422
Library,com.fasterxml.clustermate:clustermate-api,129,0.2567711196,0.06990881459,0,22.5,0.1204221959,0,0.1363489237
Library,org.json4s:json4s-ast_2.12,101,0.2021265607,0.02084831057,6,27.09836066,0.03591248619,0.001999305206,0.1642147694
Library,org.codehaus.jettison:jettison,59,0.09662093618,0.004020773999,76.125,10.61538462,0.006926028382,0.0253661848,0.06432872299
Library,org.clojure:clojure,574,0.6016840242,0.03288517442,16.8125,89.01639344,0.05664671812,0.005602219796,0.5394350863
Library,org.mockito:mockito-core,871,2.098247159,0.05703551913,3001.042553,165.0178042,0.09824715946,1,0.9999999997
Library,org.easymock:easymock,108,0.1771976012,0.00414446418,302.0384615,11.45454545,0.007139092261,0.1006445114,0.06941399754
Library,org.powermock.examples:powermock-examples,0,0.07191146893,0.01008492569,0,9,0.01737189943,0,0.05453956949
Library,org.jmockit:jmockit,287,0.2248125032,0.02415458937,121.3809524,23.55769231,0.04160775303,0.04044626167,0.1427584885
Tools,org.scalamock:scalamock-core_2.10,29,0.04720394279,0.007803121248,0,5.571428571,0.01344135215,0,0.03376259064
Tools,org.jsweet:jsweet-transpiler,73,0.01821950888,0.007874015748,0.3333333333,0.75,0.01356347225,0.0001110725115,0.004544964125
Tools,org.slf4j:jcl-over-slf4j,271,1.223288087,0.01558001693,2772.025641,45.01075269,0.02683752917,0.9236875493,0.2727630082
Tools,cloud.prefab:log4j-two-listener,514,0.3469689881,0.1099585062,0,26,0.1894102317,0,0.1575587563
Tools,com.jakewharton.android.repackaged:dalvik-dx,7,0.03005415877,0.00206682742,4.166666667,4.142857143,0.003560236257,0.001388406393,0.02510551612
Tools,com.typesafe.akka:akka-actor-testkit-typed_2.13,487,0.2486252434,0.03418339664,23,30.04615385,0.05888298505,0.00766400329,0.1820782551
Tools,pro.juxt.clojars-forks.com.taoensso:encore,6,0,0,0,0,0,0,0
Tools,org.scalatest:scalatest-app_2.10,1106,0.3231687365,0.02926208651,0,45.01075269,0.05040572829,0,0.2727630082
Tools,org.testng:testng,572,0.5549580937,0.01321122955,879.46,39.46391753,0.02275714845,0.2930514928,0.2391494525
Tools,org.hamcrest:hamcrest-core,11,0.4075141399,0.002089024586,1117.6,5.2,0.003598472229,0.3724039164,0.03151175126
Tools,org.spockframework:spock-core,666,0.3003432845,0.01601455869,108.1818182,39.06122449,0.02758605384,0.03604807872,0.236709152
Tools,io.rest-assured:json-path,441,0.1298803321,0.01218686527,33,16.15384615,0.02099261852,0.01099617863,0.09789153499
